"id_candidatura","id_candidato","id_vaga","data_candidatura","origem","curriculo_texto","status_cand","experiencia_media_anos","contratado"
"1","1","1","2024-09-10","linkedin","Formação em Ciência da Computação; 3 anos em backend.","contratado","2.25","1"
"2","2","2","2024-11-20","site","Engenheiro de dados; experiência em ETL e SQL.","recusado","4.46","0"
"3","3","3","2024-12-05","indicacao","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.20","1"
"4","4","4","2025-01-15","email","Analista de QA; testes automatizados com Selenium.","recusado","3.50","0"
"5","5","5","2025-03-10","facebook","DevOps com experiência em AWS e Docker.","contratado","3.00","1"
"6","6","6","2025-05-22","instagram","Data scientist; ML, Python, pandas.","recusado","5.23","0"
"7","7","7","2025-06-25","linkedin","Fullstack; Node.js e React.","contratado","4.45","1"
"8","8","8","2025-07-30","site","UI/UX designer; Figma e prototipagem.","recusado","3.45","0"
"9","9","9","2025-08-01","indicacao","Estagiário com foco em suporte técnico.","contratado","4.10","1"
"10","10","10","2024-09-10","email","Gerente de projetos; Scrum e Kanban.","recusado","4.00","0"
"11","11","11","2024-11-20","facebook","Formação em Ciência da Computação; 3 anos em backend.","contratado","4.21","1"
"12","12","12","2024-12-05","instagram","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.21","0"
"13","13","1","2025-01-15","linkedin","Desenvolvedor frontend; React, HTML, CSS.","contratado","2.94","1"
"14","14","2","2025-03-10","site","Analista de QA; testes automatizados com Selenium.","recusado","3.85","0"
"15","15","3","2025-05-22","indicacao","DevOps com experiência em AWS e Docker.","contratado","4.20","1"
"16","16","4","2025-06-25","email","Data scientist; ML, Python, pandas.","recusado","3.17","0"
"17","17","5","2025-07-30","facebook","Fullstack; Node.js e React.","contratado","3.21","1"
"18","18","6","2025-08-01","instagram","UI/UX designer; Figma e prototipagem.","recusado","5.08","0"
"19","19","7","2024-09-10","linkedin","Estagiário com foco em suporte técnico.","contratado","4.21","1"
"20","20","8","2024-11-20","site","Gerente de projetos; Scrum e Kanban.","recusado","4.16","0"
"21","21","9","2024-12-05","indicacao","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.98","1"
"22","22","10","2025-01-15","email","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.95","0"
"23","23","11","2025-03-10","facebook","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.86","1"
"24","24","12","2025-05-22","instagram","Analista de QA; testes automatizados com Selenium.","recusado","4.17","0"
"25","25","1","2025-06-25","linkedin","DevOps com experiência em AWS e Docker.","contratado","3.27","1"
"26","26","2","2025-07-30","site","Data scientist; ML, Python, pandas.","recusado","4.35","0"
"27","27","3","2025-08-01","indicacao","Fullstack; Node.js e React.","contratado","4.46","1"
"28","28","4","2024-09-10","email","UI/UX designer; Figma e prototipagem.","recusado","3.17","0"
"29","29","5","2024-11-20","facebook","Estagiário com foco em suporte técnico.","contratado","3.00","1"
"30","30","6","2024-12-05","instagram","Gerente de projetos; Scrum e Kanban.","recusado","4.46","0"
"31","31","7","2025-01-15","linkedin","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.18","1"
"32","32","8","2025-03-10","site","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.37","0"
"33","33","9","2025-05-22","indicacao","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.83","1"
"34","34","10","2025-06-25","email","Analista de QA; testes automatizados com Selenium.","recusado","4.17","0"
"35","35","11","2025-07-30","facebook","DevOps com experiência em AWS e Docker.","contratado","3.87","1"
"36","36","12","2025-08-01","instagram","Data scientist; ML, Python, pandas.","recusado","3.33","0"
"37","37","1","2024-09-10","linkedin","Fullstack; Node.js e React.","contratado","3.37","1"
"38","38","2","2024-11-20","site","UI/UX designer; Figma e prototipagem.","recusado","4.33","0"
"39","39","3","2024-12-05","indicacao","Estagiário com foco em suporte técnico.","contratado","4.43","1"
"40","40","4","2025-01-15","email","Gerente de projetos; Scrum e Kanban.","recusado","3.25","0"
"41","41","5","2025-03-10","facebook","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.42","1"
"42","42","6","2025-05-22","instagram","Engenheiro de dados; experiência em ETL e SQL.","recusado","4.50","0"
"43","43","7","2025-06-25","linkedin","Desenvolvedor frontend; React, HTML, CSS.","contratado","4.33","1"
"44","44","8","2025-07-30","site","Analista de QA; testes automatizados com Selenium.","recusado","3.62","0"
"45","45","9","2025-08-01","indicacao","DevOps com experiência em AWS e Docker.","contratado","3.00","1"
"46","46","10","2024-09-10","email","Data scientist; ML, Python, pandas.","recusado","3.75","0"
"47","47","11","2024-11-20","facebook","Fullstack; Node.js e React.","contratado","4.17","1"
"48","48","12","2024-12-05","instagram","UI/UX designer; Figma e prototipagem.","recusado","3.87","0"
"49","49","1","2025-01-15","linkedin","Estagiário com foco em suporte técnico.","contratado","3.21","1"
"50","50","2","2025-03-10","site","Gerente de projetos; Scrum e Kanban.","recusado","4.44","0"
"51","51","3","2025-05-22","indicacao","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.28","1"
"52","52","4","2025-06-25","email","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.48","0"
"53","53","5","2025-07-30","facebook","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.42","1"
"54","54","6","2025-08-01","instagram","Analista de QA; testes automatizados com Selenium.","recusado","5.21","0"
"55","55","7","2024-09-10","linkedin","DevOps com experiência em AWS e Docker.","contratado","3.52","1"
"56","56","8","2024-11-20","site","Data scientist; ML, Python, pandas.","recusado","3.54","0"
"57","57","9","2024-12-05","indicacao","Fullstack; Node.js e React.","contratado","3.36","1"
"58","58","10","2025-01-15","email","UI/UX designer; Figma e prototipagem.","recusado","4.08","0"
"59","59","11","2025-03-10","facebook","Estagiário com foco em suporte técnico.","contratado","4.13","1"
"60","60","12","2025-05-22","instagram","Gerente de projetos; Scrum e Kanban.","recusado","3.38","0"
"61","61","1","2025-06-25","linkedin","Formação em Ciência da Computação; 3 anos em backend.","contratado","2.94","1"
"62","62","2","2025-07-30","site","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.13","0"
"63","63","3","2025-08-01","indicacao","Desenvolvedor frontend; React, HTML, CSS.","contratado","4.20","1"
"64","64","4","2024-09-10","email","Analista de QA; testes automatizados com Selenium.","recusado","3.25","0"
"65","65","5","2024-11-20","facebook","DevOps com experiência em AWS e Docker.","contratado","3.21","1"
"66","66","6","2024-12-05","instagram","Data scientist; ML, Python, pandas.","recusado","5.08","0"
"67","67","7","2025-01-15","linkedin","Fullstack; Node.js e React.","contratado","3.30","1"
"68","68","8","2025-03-10","site","UI/UX designer; Figma e prototipagem.","recusado","4.15","0"
"69","69","9","2025-05-22","indicacao","Estagiário com foco em suporte técnico.","contratado","3.98","1"
"70","70","10","2025-06-25","email","Gerente de projetos; Scrum e Kanban.","recusado","3.95","0"
"71","71","11","2025-07-30","facebook","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.86","1"
"72","72","12","2025-08-01","instagram","Engenheiro de dados; experiência em ETL e SQL.","recusado","3.25","0"
"73","73","1","2024-09-10","linkedin","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.26","1"
"74","74","2","2024-11-20","site","Analista de QA; testes automatizados com Selenium.","recusado","3.44","0"
"75","75","3","2024-12-05","indicacao","DevOps com experiência em AWS e Docker.","contratado","4.46","1"
"76","76","4","2025-01-15","email","Data scientist; ML, Python, pandas.","recusado","3.25","0"
"77","77","5","2025-03-10","facebook","Fullstack; Node.js e React.","contratado","3.08","1"
"78","78","6","2025-05-22","instagram","UI/UX designer; Figma e prototipagem.","recusado","3.56","0"
"79","79","7","2025-06-25","linkedin","Estagiário com foco em suporte técnico.","contratado","3.26","1"
"80","80","8","2025-07-30","site","Gerente de projetos; Scrum e Kanban.","recusado","3.45","0"
"81","81","9","2025-08-01","indicacao","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.92","1"
"82","82","10","2024-09-10","email","Engenheiro de dados; experiência em ETL e SQL.","recusado","4.25","0"
"83","83","11","2024-11-20","facebook","Desenvolvedor frontend; React, HTML, CSS.","contratado","2.96","1"
"84","84","12","2024-12-05","instagram","Analista de QA; testes automatizados com Selenium.","recusado","3.42","0"
"85","85","1","2025-01-15","linkedin","DevOps com experiência em AWS e Docker.","contratado","3.29","1"
"86","86","2","2025-03-10","site","Data scientist; ML, Python, pandas.","recusado","4.25","0"
"87","87","3","2025-05-22","indicacao","Fullstack; Node.js e React.","contratado","3.51","1"
"88","88","4","2025-06-25","email","UI/UX designer; Figma e prototipagem.","recusado","3.33","0"
"89","89","5","2025-07-30","facebook","Estagiário com foco em suporte técnico.","contratado","3.50","1"
"90","90","6","2025-08-01","instagram","Gerente de projetos; Scrum e Kanban.","recusado","4.58","0"
"91","91","7","2024-09-10","linkedin","Formação em Ciência da Computação; 3 anos em backend.","contratado","3.41","1"
"92","92","8","2024-11-20","site","Engenheiro de dados; experiência em ETL e SQL.","recusado","2.71","0"
"93","93","9","2024-12-05","indicacao","Desenvolvedor frontend; React, HTML, CSS.","contratado","3.08","1"
"94","94","10","2025-01-15","email","Analista de QA; testes automatizados com Selenium.","recusado","3.83","0"
"95","95","11","2025-03-10","facebook","DevOps com experiência em AWS e Docker.","contratado","4.25","1"
"96","96","12","2025-05-22","instagram","Data scientist; ML, Python, pandas.","recusado","3.96","0"
"97","97","1","2025-06-25","linkedin","Fullstack; Node.js e React.","contratado","3.29","1"
"98","98","2","2025-07-30","site","UI/UX designer; Figma e prototipagem.","recusado","4.43","0"
"99","99","3","2025-08-01","indicacao","Estagiário com foco em suporte técnico.","contratado","4.36","1"
"100","100","4","2024-09-10","email","Gerente de projetos; Scrum e Kanban.","recusado","3.46","0"
"101","101","3","2024-05-10","linkedin","Desenvolvedor Full Stack com 5 anos de experiência em JavaScript, React e Node.js. Focado em criar aplicações web escaláveis e de alta performance.","entrevista","5.50","0"
"102","102","1","2024-03-22","Site","Recém-formada em Administração, buscando primeira oportunidade na área de Recursos Humanos. Habilidades com Pacote Office e comunicação interpessoal.","triagem","0.00","0"
"103","103","8","2024-06-01","indicação","Gerente de Projetos com certificação PMP e mais de 10 anos de experiência liderando equipes de TI em projetos de grande porte.","contratado","10.00","1"
"104","104","5","2024-04-15","LINKEDIN","Analista de Marketing Digital com foco em SEO e Google Analytics. Experiência em campanhas de performance e mídias sociais.","recusado","3.00","0"
"105","105","11","2024-05-20","site da empresa",\N,"Entrevista Tecnica","8.00","0"
"106","106","2","2024-02-18","Linkedin","Designer Gráfico com portfólio em criação de identidades visuais e materiais para redes sociais. Domínio do pacote Adobe.","triagem","4.00","0"
"107","107","12","2024-06-05","Indicação","Cientista de Dados Sênior, especialista em Machine Learning e Python. Experiência com modelos preditivos e análise de grandes volumes de dados.","entrevista","9.50","0"
"108","108","1","2024-01-30","vagas.com","Estudante de Letras buscando estágio em revisão de textos. Excelente gramática e atenção aos detalhes.","recusado",\N,"0"
"109","109","3","2024-05-12","linkedin","Desenvolvedor Java com experiência em Spring Boot e microserviços. Conhecimentos em AWS e Docker.","contratado","6.00","1"
"110","110","4","2024-03-08","Site","Cursando o 4º semestre de Engenharia de Produção. Busco oportunidade de estágio na área de Logística.","triagem","1.50","0"
"111","111","7","2024-06-10","indicação","Analista Financeiro com experiência em contas a pagar, contas a receber e conciliação bancária.","entrevista","7.00","0"
"112","112","6","2024-04-02","Catho","Técnico em Enfermagem com experiência em atendimento de emergência e cuidados intensivos.","recusado","2.50","0"
"113","113","3","2024-05-25","LinkedIn","Programador PHP com foco em Laravel e desenvolvimento de APIs REST. Experiência com MySQL e Git.","Entrevista RH","4.00","0"
"114","114","1","2024-02-05","site","","triagem","0.00","0"
"115","115","9","2024-06-11","Indicação","Arquiteto de Soluções Cloud com certificação AWS. Experiência em migração de sistemas para a nuvem e otimização de custos.","contratado","12.00","1"
"116","116","2","2024-03-14","linkedin","UI/UX Designer focado na experiência do usuário e criação de interfaces intuitivas para aplicativos móveis.","entrevista","5.00","0"
"117","117","8","2024-05-09","site","Coordenador de Projetos com experiência em metodologias ágeis (Scrum, Kanban).","recusado","8.50","0"
"118","118","10","2024-01-20","vagas.com",\N,"triagem",\N,"0"
"119","119","3","2024-06-15","LINKEDIN","Desenvolvedor .NET com experiência em C# e ASP.NET Core. Conhecimentos em SQL Server e Azure.","entrevista","4.50","0"
"120","120","1","2024-04-18","Site da Empresa","Estudante de Psicologia buscando estágio em Recrutamento e Seleção.","triagem","0.00","0"
"121","121","12","2024-05-30","indicação","Engenheiro de Dados com experiência em ETL, Spark e Hadoop. Habilidade em construir e manter pipelines de dados.","contratado","11.00","1"
"122","122","4","2024-03-25","linkedin","Analista de Logística com foco em gestão de estoque e roteirização de entregas.","Entrevista Tecnica","4.00","0"
"123","123","9","2024-06-08","site","Especialista em Segurança da Informação, com conhecimento em testes de invasão e análise de vulnerabilidades.","entrevista","9.00","0"
"124","124","6","2024-02-11","Catho","Técnico em Segurança do Trabalho com experiência em indústria e construção civil.","recusado","3.00","0"
"125","125","5","2024-05-14","linkedin","Especialista em Inbound Marketing, com foco em produção de conteúdo e automação de marketing com HubSpot.","contratado","5.00","1"
"126","126","2","2024-04-01","site","Web Designer com experiência em HTML, CSS e JavaScript. Criação de sites responsivos e otimizados.","triagem","4.00","0"
"127","127","8","2024-06-18","indicação",\N,"entrevista","10.50","0"
"128","128","1","2024-01-15","vagas.com","Jovem Aprendiz em busca da primeira experiência profissional na área administrativa.","recusado","0.00","0"
"129","129","3","2024-05-02","linkedin","Desenvolvedor Python com experiência em Django e Flask. Conhecimentos em PostgreSQL e Docker.","Entrevista RH","3.50","0"
"130","130","11","2024-03-19","site","DBA Oracle com mais de 15 anos de experiência em administração e tuning de bancos de dados de grande porte.","contratado","15.00","1"
"131","131","4","2024-06-20","indicação","Assistente de Logística, cursando superior na área. Experiência com emissão de notas fiscais e controle de frota.","triagem","2.00","0"
"132","132","7","2024-04-28","linkedin","Contador com CRC ativo. Experiência em rotinas fiscais, contábeis e folha de pagamento.","entrevista","4.00","0"
"133","133","12","2024-05-18","site","Ph.D. em Estatística, com foco em modelagem para o mercado financeiro. Experiência com R e Python.","Entrevista Tecnica","10.00","0"
"134","134","8","2024-02-22","indicação","Gerente de Produto com experiência no lançamento de produtos digitais e gestão de roadmap.","recusado","9.00","0"
"135","135","6","2024-06-03","Catho","Técnico em Radiologia com experiência em exames de tomografia e ressonância magnética.","triagem","2.00","0"
"136","136","3","2024-04-11","linkedin","Desenvolvedor Front-end com especialidade em Vue.js e SASS. Focado em performance e usabilidade.","contratado","5.00","1"
"137","137","9","2024-05-28","site","Analista de Infraestrutura de TI com experiência em servidores Windows e Linux, e virtualização com VMware.","entrevista","6.50","0"
"138","138","1","2024-01-09","vagas.com","","recusado",\N,"0"
"139","139","5","2024-06-21","indicação","Redatora publicitária com experiência em agências e criação de campanhas para diversas mídias.","triagem","4.00","0"
