"id_candidatura","id_candidato","id_vaga","data_candidatura","origem","curriculo_texto","status_cand","experiencia_media_anos","contratado"
"140","140","3","2024-03-04","linkedin","Desenvolvedor Mobile (Android) com experiência em Kotlin e Java. Publicação de apps na Play Store.","Entrevista RH","4.00","0"
"141","141","6","2024-05-05","site","Técnico de Laboratório com experiência em análises clínicas e controle de qualidade.","entrevista","2.00","0"
"142","142","8","2024-02-15","indicação","Scrum Master certificado, com experiência em facilitar cerimônias e remover impedimentos de equipes de desenvolvimento.","contratado","7.00","1"
"143","143","9","2024-06-13","linkedin",\N,"recusado","11.00","0"
"144","144","1","2024-04-22","vagas.com","Busco primeira oportunidade de emprego. Ensino médio completo.","triagem","0.00","0"
"145","145","12","2024-05-22","site","Pesquisadora com doutorado em Biotecnologia, experiência em projetos de P&D na indústria farmacêutica.","entrevista","10.00","0"
"146","146","3","2024-03-29","indicação","Desenvolvedor Ruby on Rails com experiência em TDD e BDD. Conhecimento em Heroku.","Entrevista Tecnica","5.50","0"
"147","147","2","2024-06-07","linkedin","Product Designer com experiência em todo o ciclo de vida do produto, desde a pesquisa até o lançamento.","entrevista","4.00","0"
"148","148","11","2024-02-01","site","Administrador de Banco de Dados SQL Server. Experiência com Always On e otimização de queries.","recusado","8.00","0"
"149","149","4","2024-05-16","indicação","Comprador com experiência em negociação com fornecedores e gestão de contratos no setor industrial.","contratado","4.00","1"
"150","150","8","2024-04-05","linkedin","Agile Coach com experiência em transformação ágil de grandes corporações.","entrevista","9.00","0"
"151","151","1","2024-06-25","vagas.com","Recém-formada em Secretariado Executivo, bilíngue (Inglês), em busca de oportunidade.","triagem","0.00","0"
"152","152","5","2024-03-11","site","Social Media com experiência em gestão de redes sociais, criação de conteúdo e análise de métricas para marcas de moda.","Entrevista RH","5.00","0"
"153","153","3","2024-05-08","indicação","Desenvolvedor iOS (Swift) com experiência em SwiftUI e UIKit. Portfólio de apps na App Store.","entrevista","4.00","0"
"154","154","11","2024-02-19","linkedin","Especialista em Business Intelligence com domínio de Power BI e Tableau. Experiência na criação de dashboards gerenciais.","contratado","10.00","1"
"155","155","6","2024-06-14","Catho","Técnico em Edificações com experiência em acompanhamento de obras e leitura de projetos.","recusado","3.00","0"
"156","156","12","2024-04-25","site","Cientista de Alimentos com mestrado e experiência em desenvolvimento de novos produtos e controle de qualidade na indústria.","entrevista","9.00","0"
"157","157","8","2024-05-24","indicação","Product Owner com experiência em priorização de backlog e definição de user stories para o setor financeiro.","Entrevista Tecnica","8.00","0"
"158","158","3","2024-03-01","linkedin","Engenheiro de Software com foco em arquitetura de sistemas distribuídos e alta disponibilidade.","entrevista","4.50","0"
"159","159","1","2024-01-25","vagas.com",\N,"triagem","0.00","0"
"160","160","5","2024-06-02","site","Assessor de Imprensa com experiência em relacionamento com a mídia e gestão de crises.","contratado","5.00","1"
"161","161","9","2024-04-14","indicação","Analista de Redes com certificação CCNA. Experiência com configuração de switches, roteadores e firewalls.","entrevista","7.00","0"
"162","162","3","2024-05-11","linkedin","Desenvolvedor Go (Golang) com experiência em desenvolvimento de APIs de alta performance.","recusado","4.00","0"
"163","163","6","2024-02-08","Catho","Técnico em Mecânica com experiência em manutenção de maquinário industrial.","triagem","2.00","0"
"164","164","12","2024-06-19","site","Físico com doutorado, especialista em simulações computacionais e análise de dados complexos.","Entrevista RH","12.00","0"
"165","165","8","2024-03-23","indicação","Gerente de Inovação com experiência em programas de intraempreendedorismo e conexão com startups.","entrevista","9.50","0"
"166","166","3","2024-05-29","linkedin","Engenheiro de QA/Testes com experiência em automação de testes com Selenium e Cypress.","contratado","5.00","1"
"167","167","5","2024-04-09","site","Analista de Comunicação Interna. Experiência com planejamento de campanhas e eventos corporativos.","Entrevista Tecnica","4.00","0"
"168","168","11","2024-01-18","indicação",\N,"entrevista","8.00","0"
"169","169","1","2024-06-06","vagas.com","Estou no último ano do ensino médio e busco uma vaga de Jovem Aprendiz.","recusado",\N,"0"
"170","170","3","2024-03-15","linkedin","Desenvolvedor C++ com experiência em sistemas embarcados e de tempo real.","triagem","4.00","0"
"171","171","6","2024-05-13","Catho","Técnico em Eletrônica com experiência em manutenção de equipamentos hospitalares.","entrevista","2.50","0"
"172","172","4","2024-02-26","site","Estudante de Comércio Exterior, buscando estágio na área de importação e exportação.","contratado","1.00","1"
"173","173","8","2024-06-22","indicação","Head de Produto (CPO) com vasta experiência em liderar times de produto em startups de tecnologia.","entrevista","14.00","0"
"174","174","2","2024-04-19","linkedin","UX Writer com experiência em criar textos para interfaces, garantindo clareza e consistência na comunicação do produto.","recusado","4.00","0"
"175","175","9","2024-05-04","site","Analista de Suporte Técnico N2, com experiência em atendimento a clientes corporativos e resolução de incidentes.","Entrevista RH","7.00","0"
"176","176","1","2024-01-11","vagas.com","","triagem","0.00","0"
"177","177","12","2024-06-12","indicação","Engenheiro Químico com experiência em processos industriais e otimização de produção na indústria petroquímica.","entrevista","10.00","0"
"178","178","3","2024-03-08","linkedin","Desenvolvedor de Jogos com experiência na engine Unity e C#.","Entrevista Tecnica","4.00","0"
"179","179","5","2024-05-21","site","Relações Públicas com foco em eventos e comunicação com stakeholders.","contratado","5.00","1"
"180","180","11","2024-02-14","indicação","Arquiteto de Dados com experiência em modelagem de dados e definição de padrões para Data Warehouse e Data Lake.","entrevista","12.00","0"
"181","181","8","2024-06-26","linkedin","Coordenador de Customer Success, focado em retenção e satisfação de clientes B2B.","recusado","8.00","0"
"182","182","6","2024-04-04","Catho","Técnico Agrícola com experiência em manejo de culturas e operação de maquinário.","triagem","3.00","0"
"183","183","3","2024-05-19","site","Desenvolvedor Salesforce com certificação Platform Developer I. Experiência com Apex e Lightning Web Components.","entrevista","4.00","0"
"184","184","1","2024-01-29","vagas.com","Procuro vaga de recepcionista. Tenho experiência com atendimento ao público.","triagem","0.50","0"
"185","185","12","2024-06-09","indicação","Biólogo com doutorado em genética e experiência em pesquisa laboratorial com sequenciamento de DNA.","contratado","11.00","1"
"186","186","9","2024-03-20","linkedin","DevOps Sênior com experiência em automação de CI/CD com Jenkins, GitLab CI, e infraestrutura como código com Terraform.","entrevista","9.00","0"
"187","187","8","2024-05-26","site",\N,"Entrevista RH","7.00","0"
"188","188","2","2024-02-04","indicação","Ilustrador com experiência em criação de personagens e cenários para animação e jogos.","recusado","5.00","0"
"189","189","3","2024-06-16","linkedin","Desenvolvedor Rust com interesse em sistemas de baixa latência e alta performance.","entrevista","4.00","0"
"190","190","6","2024-04-23","Catho","Técnico em Refrigeração e Climatização, com experiência em instalação e manutenção de sistemas HVAC.","triagem","2.00","0"
"191","191","11","2024-05-01","site","Engenheiro de Machine Learning com experiência em colocar modelos em produção e monitorá-los.","contratado","9.00","1"
"192","192","1","2024-01-16","vagas.com","Busco uma oportunidade para reingressar no mercado de trabalho.","recusado",\N,"0"
"193","193","12","2024-06-28","indicação","Matemático com Ph.D., especialista em otimização e pesquisa operacional aplicada à logística.","entrevista","13.00","0"
"194","194","3","2024-03-12","linkedin","Desenvolvedor WordPress com experiência em criação de temas e plugins personalizados.","Entrevista Tecnica","4.00","0"
"195","195","8","2024-05-31","site","Gerente de Parcerias Estratégicas com experiência em negociação de acordos comerciais complexos.","entrevista","10.00","0"
"196","196","5","2024-02-28","indicação","Jornalista com experiência em redação para portais de notícias e checagem de fatos.","contratado","5.00","1"
"197","197","11","2024-06-17","linkedin","Cloud FinOps Analyst, com foco em otimização de custos e governança financeira em ambientes de nuvem (AWS, Azure).","recusado","8.00","0"
"198","198","4","2024-04-16","site","Analista de Planejamento e Controle da Produção (PCP) com experiência na indústria metalúrgica.","entrevista","4.00","0"
"199","199","6","2024-01-22","Catho","Técnico em Farmácia com experiência em atendimento em drogarias e controle de estoque de medicamentos.","triagem","3.00","0"
"200","200","1","2024-06-04","vagas.com","Estudante universitário em busca de estágio de férias.","triagem","0.00","0"
"201","201","12","2024-03-27","indicação","Engenheiro de Materiais com doutorado, especialista em polímeros e compósitos para a indústria aeroespacial.","contratado","10.00","1"
"202","202","8","2024-05-15","linkedin","Head de Pessoas e Cultura com experiência em estruturação da área de RH em startups.","Entrevista RH","9.00","0"
"203","203","3","2024-02-12","site","Desenvolvedor Elixir com experiência em Phoenix Framework e sistemas concorrentes.","entrevista","4.00","0"
"204","204","9","2024-06-23","indicação","Site Reliability Engineer (SRE) com experiência em monitoramento (Prometheus, Grafana) e automação com Ansible.","recusado","7.00","0"
"205","205","5","2024-04-29","linkedin","Growth Hacker com experiência em testes A/B e otimização de funil de conversão.","entrevista","5.00","0"
"206","206","6","2024-01-08","Catho","Técnico em Nutrição com experiência em cozinhas industriais e controle de qualidade de alimentos.","triagem","2.00","0"
"207","207","1","2024-06-29","vagas.com",\N,"triagem","0.00","0"
"208","208","12","2024-03-18","site","Geólogo com doutorado, especialista em prospecção mineral e análise de dados geofísicos.","contratado","12.00","1"
"209","209","8","2024-05-06","indicação","Gerente de Vendas com experiência em liderança de equipes comerciais no setor de software (SaaS).","Entrevista Tecnica","9.00","0"
"210","210","3","2024-02-23","linkedin","Desenvolvedor Mobile Híbrido com React Native. Experiência em publicação de apps para Android e iOS.","entrevista","4.00","0"
"211","211","9","2024-06-10","site","Especialista em Cibersegurança com foco em resposta a incidentes e forense digital.","recusado","8.00","0"
"212","212","5","2024-04-03","indicação","Produtor de Conteúdo Audiovisual. Experiência com gravação e edição de vídeos para YouTube e redes sociais.","entrevista","5.00","0"
"213","213","6","2024-01-24","Catho","Técnico em Logística com experiência em operações de armazém e expedição.","triagem","3.00","0"
"214","214","1","2024-06-11","vagas.com","Portador de deficiência, buscando oportunidade no mercado de trabalho.","triagem","0.00","0"
"215","215","12","2024-03-05","site","Oceanógrafo com doutorado, especialista em modelagem de correntes oceânicas e impacto ambiental.","contratado","11.00","1"
"216","216","8","2024-05-23","indicação","Consultor de Negócios com experiência em planejamento estratégico e reestruturação de processos.","Entrevista RH","9.00","0"
"217","217","3","2024-02-09","linkedin","Desenvolvedor Kotlin Multiplatform, com interesse em compartilhar código entre Android, iOS e Web.","entrevista","4.00","0"
"218","218","11","2024-06-27","site","Data Steward, responsável pela governança e qualidade dos dados em um grande banco.","recusado","10.00","0"
"219","219","2","2024-04-26","indicação","Motion Designer com experiência em After Effects e Cinema 4D para criação de vinhetas e animações.","entrevista","4.00","0"
"220","220","6","2024-01-13","Catho","Técnico em Química com experiência em laboratório de controle de qualidade na indústria de cosméticos.","triagem","2.00","0"
"221","221","1","2024-06-18","vagas.com","","triagem","0.00","0"
"222","222","12","2024-03-30","site","Astrônomo com Ph.D., especialista em análise de dados de telescópios e busca por exoplanetas.","contratado","13.00","1"
"223","223","8","2024-05-17","indicação","Diretor de Operações (COO) com experiência em escalar operações de empresas de tecnologia.","Entrevista Tecnica","15.00","0"
"224","224","7","2024-02-17","linkedin","Analista de Controladoria com experiência em orçamento, forecast e análise de resultados.","entrevista","5.00","0"
"225","225","9","2024-06-05","site","Pentester com certificação OSCP. Experiência em testes de invasão em aplicações web e mobile.","recusado","7.00","0"
"226","226","3","2024-04-12","indicação","Arquiteto de Software com experiência em design de microserviços e padrões de resiliência.","entrevista","12.00","0"
"227","227","6","2024-01-28","Catho","Técnico em Meio Ambiente com experiência em licenciamento ambiental e gestão de resíduos.","triagem","3.00","0"
"228","228","1","2024-06-24","vagas.com",\N,"triagem","0.00","0"
"229","229","12","2024-03-09","site","Cientista Social com doutorado, especialista em análise de políticas públicas e pesquisas de opinião.","contratado","10.00","1"
"230","230","8","2024-05-27","indicação","Gerente de Customer Experience (CX) com foco em mapeamento da jornada do cliente e melhoria contínua.","Entrevista RH","8.00","0"
"231","231","3","2024-02-02","linkedin","Desenvolvedor Flutter com experiência na criação de aplicativos para Android e iOS a partir de um único código-base.","entrevista","4.00","0"
"232","232","11","2024-06-13","site","Analista de Governança de Dados, com experiência na implementação de políticas e padrões de dados.","recusado","8.00","0"
"233","233","2","2024-04-21","indicação","Pesquisador de UX (UX Researcher) com experiência em condução de entrevistas, testes de usabilidade e análise de dados qualitativos.","entrevista","5.00","0"
"234","234","6","2024-01-19","Catho","Técnico em Automação Industrial com experiência em programação de CLPs e sistemas supervisórios.","triagem","2.50","0"
"235","235","1","2024-06-30","vagas.com","Estudante de ensino técnico em administração em busca de estágio.","triagem","0.00","0"
"236","236","12","2024-03-16","site","Neurocientista com doutorado, especialista em processamento de sinais neurais e interfaces cérebro-computador.","contratado","12.00","1"
"237","237","8","2024-05-03","indicação","Consultor de Implantação de Software ERP, com experiência em SAP ou Oracle.","Entrevista Tecnica","9.00","0"
"238","238","3","2024-02-25","linkedin","Engenheiro de Confiabilidade de Software (SRE) com experiência em observabilidade e gestão de incidentes.","entrevista","4.50","0"
"239","239","9","2024-06-20","site","Ethical Hacker com experiência em programas de Bug Bounty e análise de segurança de código-fonte.","recusado","6.00","0"
"240","240","5","2024-04-08","indicação","Analista de SEO com foco em SEO técnico, link building e otimização de conteúdo.","entrevista","5.00","0"
"241","241","6","2024-01-12","Catho","Técnico em Design de Interiores com experiência em projetos residenciais e comerciais.","triagem","3.00","0"
"242","242","1","2024-06-14","vagas.com","","triagem","0.00","0"
"243","243","12","2024-03-24","site","Antropólogo com doutorado, especialista em estudos de cultura organizacional e comportamento do consumidor.","contratado","11.00","1"
"244","244","8","2024-05-20","indicação","Gerente de Contas Estratégicas (Key Account Manager) para o setor de bens de consumo.","Entrevista RH","8.50","0"
"245","245","3","2024-02-18","linkedin","Desenvolvedor Web3 com experiência em Solidity e desenvolvimento de Smart Contracts na rede Ethereum.","entrevista","4.00","0"
"246","246","11","2024-06-07","site","Mestre de Dados (Data Master) focado em garantir a integridade e o uso estratégico dos dados da empresa.","recusado","10.00","0"
"247","247","2","2024-04-17","indicação","Arquiteto da Informação com experiência em organizar e estruturar conteúdo para grandes portais e intranets.","entrevista","5.50","0"
"248","248","6","2024-01-31","Catho","Técnico em Geoprocessamento com experiência em ArcGIS e QGIS.","triagem","2.00","0"
"249","249","1","2024-06-25","vagas.com","Em busca de recolocação profissional.","triagem",\N,"0"
"250","250","12","2024-03-02","site","Linguista Computacional com doutorado, especialista em Processamento de Linguagem Natural (PLN) e desenvolvimento de chatbots.","contratado","13.00","1"
